Task,Environment steps,Sticky action,Full action space,Alien,Amidar,Assault,Asterix,BankHeist,BattleZone,Boxing,Breakout,ChopperCommand,CrazyClimber,DemonAttack,Freeway,Frostbite,Gopher,Hero,Jamesbond,Kangaroo,Krull,KungFuMaster,MsPacman,Pong,PrivateEye,Qbert,RoadRunner,Seaquest,UpNDown,Gamer mean (%),Gamer median (%)
Random,—,—,—,228,6,222,210,14,2360,0,2,811,10780,152,0,65,258,1027,29,52,1598,258,307,-21,25,164,12,68,533,0,0
Human,—,—,—,7128,1720,742,8503,753,37188,12,30,7388,35829,1971,30,4335,2412,30826,303,3035,2666,22736,6952,15,69571,13455,7845,42055,11693,100,100
PPO,400K,—,—,276,26,327,292,14,2233,3,3,1005,14675,160,2,127,368,2596,41,55,3222,2090,366,-20,100,317,602,305,1502,11,2
SimPLe,400K,TRUE,FALSE,617,74,527,1128,34,4031,8,16,979,62584,208,17,237,597,2657,100,51,2205,14862,1480,13,35,1289,5641,683,3350,33,13
SPR,400K,FALSE,FALSE,842,180,566,962,345,14834,36,20,946,36700,518,19,1171,661,5859,366,3617,3682,14783,1318,-5,86,866,12213,558,10859,62,40
TWM,400K,FALSE,FALSE,675,122,683,1117,467,5068,78,20,1697,71820,350,24,1476,1675,7254,362,1240,6349,24555,1588,19,87,3331,9109,774,15982,96,51
IRIS,400K,FALSE,FALSE,420,143,1524,854,53,13074,70,84,1565,59324,2034,31,259,2236,7037,463,838,6616,21760,999,15,100,746,9615,661,3546,105,29
Dreamer,400K,FALSE,TRUE,1118,97,683,1062,398,20300,82,10,2222,86225,577,0,3377,2160,13354,540,2643,8171,25900,1521,-4,3238,2921,19230,962,46910,125,49
DRAMA,100K,—,—,700.4,128.2,793.6,1043,383,10850,64,55,1273.3,55823.3,1717,28.7,1662,3086,6934,400,3433.3,4740.1,22700,1852,13.7,100,7629.2,13600,654.7,4746,—,—
STORM,100K,—,—,701.3,153.2,933.3,953,444.6,17766.7,71,60,1380,58520,3679.5,28.5,2289.7,5165.3,6499,451.7,3933.3,5374,24040,2242,16,100,9171,14206.7,721.3,6452,—,—
TWISTER,100K,—,—,796,164.7,1344.2,1226.7,527.7,17633.3,74.4,70,1653.3,53666.7,10531.5,30,2833.7,5876.7,7910,456.7,3933.3,5692.6,28500,2524.3,16,100,12644.2,20906.7,752,8222.7,—,—
EDELINE,100K,—,—,999.1,167.3,1521.8,1312,551.4,18115.1,83.2,81,1810.1,61234.3,12111.4,31.1,3102.4,6122.5,8215,502.1,4211.5,6102.1,31024,2814.5,19,100,15124.5,23105.1,812.3,9102.5,—,—
